from_pin.full_name,to_pin.full_name,delay_max_rise,delay_max_fall,variation_delay_max_rise.mean,variation_delay_max_rise.std_dev,variation_delay_max_fall.mean,variation_delay_max_fall.std_dev
i59/i307/Y,i59/i509/A2,2.6846580514217067e-05,2.6874336089832696e-05,2.6846580514217067e-05,UNINIT,2.6874336089832696e-05,UNINIT
i59/i488/Y,i59/i470/B,3.337954912474572e-05,3.3410774147313305e-05,3.337954912474572e-05,UNINIT,3.3410774147313305e-05,UNINIT
i59/i488/Y,i59/i483/B,4.068273495860808e-05,4.072089887507957e-05,4.068273495860808e-05,UNINIT,4.072089887507957e-05,UNINIT
i59/i306/Y,i59/i214/D,1.9435841824844147e-05,1.9234613901630837e-05,1.9435841824844147e-05,UNINIT,1.9234613901630837e-05,UNINIT
i59/i305/Y,i59/i201/B2,2.4730217873525362e-05,2.473715676742927e-05,2.4730217873525362e-05,UNINIT,2.473715676742927e-05,UNINIT
i59/i304/Y,i59/i214/C,2.2301605007157832e-05,2.2044865932713265e-05,2.2301605007157832e-05,UNINIT,2.2044865932713265e-05,UNINIT
i59/i303/Y,i59/i163/D,2.1947721418058563e-05,2.1718737919229625e-05,2.1947721418058563e-05,UNINIT,2.1718737919229625e-05,UNINIT
i59/i302/Y,i59/i217/A1,5.7218119131619e-05,5.748179709996747e-05,5.7218119131619e-05,UNINIT,5.748179709996747e-05,UNINIT
i59/i353/Y,i59/i242/B,4.701100619897147e-05,4.699712841116366e-05,4.701100619897147e-05,UNINIT,4.699712841116366e-05,UNINIT
i59/i353/Y,i59/i247/B,5.0910664572967335e-05,5.088984789125561e-05,5.0910664572967335e-05,UNINIT,5.088984789125561e-05,UNINIT
i59/i353/Y,i59/i158/A,6.10483885665758e-05,6.106226635438361e-05,6.10483885665758e-05,UNINIT,6.106226635438361e-05,UNINIT
i59/i352/Y,i59/i134/A1,7.256001355315789e-05,7.244899125069537e-05,7.256001355315789e-05,UNINIT,7.244899125069537e-05,UNINIT
i59/i352/Y,i59/i301/A,6.95901669622856e-05,6.954853359886215e-05,6.95901669622856e-05,UNINIT,6.954853359886215e-05,UNINIT
i59/i352/Y,i59/i101/A2,5.5046245339696036e-05,5.503236755188822e-05,5.5046245339696036e-05,UNINIT,5.503236755188822e-05,UNINIT
i59/i301/Y,i59/i180/B,2.4522051056408145e-05,2.441102875394563e-05,2.4522051056408145e-05,UNINIT,2.441102875394563e-05,UNINIT
i59/i351/Y,i59/i300/A,0.00012982670494210424,0.00012982670494210424,0.00012982670494210424,UNINIT,0.00012982670494210424,UNINIT
i59/i351/Y,i59/i200/A1,5.485889520429054e-05,5.495603971894524e-05,5.485889520429054e-05,UNINIT,5.495603971894524e-05,UNINIT
