from_pin.full_name,to_pin.full_name,sense,delay_max_rise,delay_max_fall,variation_delay_max_rise.mean,variation_delay_max_rise.std_dev,variation_delay_max_fall.mean,variation_delay_max_fall.std_dev
i43/i46/i251/A2,i43/i46/i251/Y,negative_unate,11.627685,8.885218,11.627685,UNINIT,8.885218,UNINIT
i43/i46/i251/B,i43/i46/i251/Y,negative_unate,8.110739,7.890841,8.110739,UNINIT,7.890841,UNINIT
i43/i46/i252/A,i43/i46/i252/Y,negative_unate,15.783441,7.912943,15.783441,UNINIT,7.912943,UNINIT
i43/i46/i252/B,i43/i46/i252/Y,negative_unate,13.608044,9.161257,13.608044,UNINIT,9.161257,UNINIT
i43/i46/i253/A1,i43/i46/i253/Y,negative_unate,8.03238,7.695847,8.03238,UNINIT,7.695847,UNINIT
i43/i46/i253/A2,i43/i46/i253/Y,negative_unate,10.243258,7.34871,10.243258,UNINIT,7.34871,UNINIT
i43/i46/i253/B,i43/i46/i253/Y,negative_unate,7.694433,6.681754,7.694433,UNINIT,6.681754,UNINIT
i43/i46/i254/A1,i43/i46/i254/Y,negative_unate,11.310542,10.483315,11.310542,UNINIT,10.483315,UNINIT
i43/i46/i254/A2,i43/i46/i254/Y,negative_unate,12.547413,9.894732,12.547413,UNINIT,9.894732,UNINIT
i43/i46/i254/B,i43/i46/i254/Y,negative_unate,9.507438,9.303497,9.507438,UNINIT,9.303497,UNINIT
i43/i46/i255/A1,i43/i46/i255/Y,negative_unate,11.414937,10.649727,11.414937,UNINIT,10.649727,UNINIT
i43/i46/i255/A2,i43/i46/i255/Y,negative_unate,13.743255,10.62748,13.743255,UNINIT,10.62748,UNINIT
i43/i46/i255/B,i43/i46/i255/Y,negative_unate,10.783132,9.850294,10.783132,UNINIT,9.850294,UNINIT
i43/i46/i256/A1,i43/i46/i256/Y,negative_unate,11.882421,11.214364,11.882421,UNINIT,11.214364,UNINIT
i43/i46/i256/A2,i43/i46/i256/Y,negative_unate,12.911226,10.570663,12.911226,UNINIT,10.570663,UNINIT
i43/i46/i256/B,i43/i46/i256/Y,negative_unate,10.854644,10.550581,10.854644,UNINIT,10.550581,UNINIT
i43/i46/i257/A1,i43/i46/i257/Y,negative_unate,10.232432,9.670593,10.232432,UNINIT,9.670593,UNINIT
i43/i46/i257/A2,i43/i46/i257/Y,negative_unate,12.237683,9.198854,12.237683,UNINIT,9.198854,UNINIT
i43/i46/i257/B,i43/i46/i257/Y,negative_unate,8.406627,8.088647,8.406627,UNINIT,8.088647,UNINIT
i43/i46/i258/A1,i43/i46/i258/Y,negative_unate,13.456437,12.967316,13.456437,UNINIT,12.967316,UNINIT
i43/i46/i258/A2,i43/i46/i258/Y,negative_unate,12.264603,9.011886,12.264603,UNINIT,9.011886,UNINIT
i43/i46/i258/B,i43/i46/i258/Y,negative_unate,16.856606,8.087275,16.856606,UNINIT,8.087275,UNINIT
i43/i46/i259/A1,i43/i46/i259/Y,negative_unate,10.349698,9.929528,10.349698,UNINIT,9.929528,UNINIT
i43/i46/i259/A2,i43/i46/i259/Y,negative_unate,11.37278,8.787676,11.37278,UNINIT,8.787676,UNINIT
i43/i46/i259/B,i43/i46/i259/Y,negative_unate,8.703384,8.21531,8.703384,UNINIT,8.21531,UNINIT
i43/i46/i26/A,i43/i46/i26/Y,negative_unate,15.946897,18.385508,15.946897,UNINIT,18.385508,UNINIT
i43/i46/i26/B,i43/i46/i26/Y,negative_unate,15.308272,16.32691,15.308272,UNINIT,16.32691,UNINIT
i43/i46/i26/C,i43/i46/i26/Y,negative_unate,14.677304,16.239416,14.677304,UNINIT,16.239416,UNINIT
i43/i46/i260/A1,i43/i46/i260/Y,negative_unate,11.019115,10.276026,11.019115,UNINIT,10.276026,UNINIT
i43/i46/i260/A2,i43/i46/i260/Y,negative_unate,12.85997,10.079989,12.85997,UNINIT,10.079989,UNINIT
i43/i46/i260/B,i43/i46/i260/Y,negative_unate,9.24857,9.191068,9.24857,UNINIT,9.191068,UNINIT
i43/i46/i261/A1,i43/i46/i261/Y,negative_unate,12.234889,11.670723,12.234889,UNINIT,11.670723,UNINIT
i43/i46/i261/A2,i43/i46/i261/Y,negative_unate,12.794641,9.179536,12.794641,UNINIT,9.179536,UNINIT
i43/i46/i261/B,i43/i46/i261/Y,negative_unate,16.268768,11.30009,16.268768,UNINIT,11.30009,UNINIT
i43/i46/i262/A1,i43/i46/i262/Y,negative_unate,11.6118,10.991035,11.6118,UNINIT,10.991035,UNINIT
i43/i46/i262/A2,i43/i46/i262/Y,negative_unate,12.252672,9.017733,12.252672,UNINIT,9.017733,UNINIT
i43/i46/i262/B,i43/i46/i262/Y,negative_unate,15.114337,10.563786,15.114337,UNINIT,10.563786,UNINIT
i43/i46/i263/A1,i43/i46/i263/Y,negative_unate,10.14163,9.585341,10.14163,UNINIT,9.585341,UNINIT
i43/i46/i263/A2,i43/i46/i263/Y,negative_unate,10.637147,8.654193,10.637147,UNINIT,8.654193,UNINIT
i43/i46/i263/B,i43/i46/i263/Y,negative_unate,10.578685,9.292406,10.578685,UNINIT,9.292406,UNINIT
i43/i46/i264/A1,i43/i46/i264/Y,negative_unate,10.735749,10.494005,10.735749,UNINIT,10.494005,UNINIT
i43/i46/i264/A2,i43/i46/i264/Y,negative_unate,10.488393,8.281128,10.488393,UNINIT,8.281128,UNINIT
i43/i46/i264/B,i43/i46/i264/Y,negative_unate,8.691761,7.980748,8.691761,UNINIT,7.980748,UNINIT
i43/i46/i265/A1,i43/i46/i265/Y,negative_unate,12.218659,11.466687,12.218659,UNINIT,11.466687,UNINIT
i43/i46/i265/A2,i43/i46/i265/Y,negative_unate,13.284712,10.600386,13.284712,UNINIT,10.600386,UNINIT
i43/i46/i265/B,i43/i46/i265/Y,negative_unate,9.7253,9.698226,9.7253,UNINIT,9.698226,UNINIT
i43/i46/i266/A1,i43/i46/i266/Y,negative_unate,10.294901,9.998221,10.294901,UNINIT,9.998221,UNINIT
i43/i46/i266/A2,i43/i46/i266/Y,negative_unate,11.443757,8.595849,11.443757,UNINIT,8.595849,UNINIT
i43/i46/i266/B,i43/i46/i266/Y,negative_unate,8.707004,8.027356,8.707004,UNINIT,8.027356,UNINIT
i43/i46/i267/A,i43/i46/i267/Y,negative_unate,11.081304,11.730723,11.081304,UNINIT,11.730723,UNINIT
i43/i46/i267/B,i43/i46/i267/Y,negative_unate,12.161639,11.455723,12.161639,UNINIT,11.455723,UNINIT
i43/i46/i267/C,i43/i46/i267/Y,negative_unate,12.529291,10.867293,12.529291,UNINIT,10.867293,UNINIT
i43/i46/i268/A1,i43/i46/i268/Y,negative_unate,11.66194,10.996961,11.66194,UNINIT,10.996961,UNINIT
i43/i46/i268/A2,i43/i46/i268/Y,negative_unate,14.437768,10.915333,14.437768,UNINIT,10.915333,UNINIT
